PLAYER,SALARY,SIGNING,TEAM,2027 SALARY,2027 STATUS
Rebecca Allen,"$350,000",UFA,NYL,,UFA
Nia Coffey,"$350,000",UFA,MIN,"$367,500",Signed
Jordan Horston,"$332,278",,SEA,,Reserved
Aneesah Morrow,"$331,563",Rookie,TOR,"$364,720",Signed
Luisa Geiselsöder,"$325,000",Reserved,PDX,"$341,250",Signed
Dorka Juhász,"$318,910",,MIN,,Reserved
Myisha Hines-Allen,"$315,000",UFA,IND,,UFA
Flau'jae Johnson,"$309,622",,SEA,"$322,007",Signed
Saniya Rivers,"$309,622",Rookie,CON,"$340,585",Signed
Natasha Mack,"$303,600",Reserved,PHX,"$288,600",Signed
Monique Akoa Makani,"$300,000",Reserved,LAS,"$288,600",Signed
Haley Jones,"$300,000",Reserved,PDX,,
Leonie Fiebich,"$293,510",,NYL,"$331,666",Signed
Nell Angloma,"$289,133",,CON,"$300,698",Signed
Sarah Ashlee Barker,"$289,133",Rookie,PDX,"$318,046",Signed
Angela Dugalić,"$289,133",,WAS,"$300,698",Signed
Aziaha James,"$289,133",Rookie,DAL,"$318,046",Signed
Raven Johnson,"$289,133",,IND,"$300,698",Signed
Gianna Kneepkens,"$289,133",,CON,"$300,698",Signed
Leila Lacan,"$289,133",,CON,"$318,046",Signed
Carla Leite,"$289,133",Rookie,PDX,"$318,046",Signed
Cotie McMahon,"$289,133",,WAS,"$300,698",Signed
Madina Okot,"$289,133",,ATL,"$300,698",Signed
Nyadiew Puoch,"$289,133",,PDX,"$300,698",Signed
Laeticia Amihere,"$277,500",Reserved,GSV,,RFA
Kierstan Bell,"$277,500",RFA,LVA,,UFA
Lexie Brown,"$277,500",UFA,SEA,,
Rae Burrell,"$277,500",,LAS,,RFA
Maya Caldwell,"$277,500",Reserved,MIN,,RFA
Emma Cannon,"$277,500",UFA,LAS,,UFA
Kaitlyn Chen,"$277,500",Reserved,GSV,,Reserved
Alysha Clark,"$277,500",UFA,DAL,,UFA
Zia Cooke,"$277,500",Reserved,SEA,,RFA
Damiris Dantas,"$277,500",UFA,IND,"$288,600",Signed
Emily Engstler,"$277,500",Reserved,PDX,,RFA
Rebekah Gardner,"$277,500",Reserved,NYL,,RFA
Mackenzie Holmes,"$277,500",Reserved,SEA,,Reserved
Marine Johannes,"$277,500",Reserved,NYL,,RFA
Sika Kone,"$277,500",Reserved,ATL,,
Anastasiia Olairi Kosu,"$277,500",Rookie,MIN,"$305,250",Signed
Kyara Linskens,"$277,500",UFA,PHX,,Reserved
Kia Nurse,"$277,500",UFA,TOR,,UFA
Aaliyah Nye,"$277,500",Rookie,ATL,"$305,250",Signed
Lucy Olsen,"$277,500",Rookie,WAS,"$305,250",Signed
Te-Hina Paopao,"$277,500",Rookie,ATL,"$305,250",Signed
Cheyenne Parker-Tyus,"$277,500",UFA,LVA,,UFA
Odyssey Sims,"$277,500",UFA,DAL,,UFA
Makayla Timpson,"$277,500",Rookie,IND,"$305,250",Signed
Brianna Turner,"$277,500",UFA,LVA,,UFA
Han Xu,"$277,500",,NYL,,Reserved
Li Yueru,"$277,500",Reserved,DAL,,Reserved
Pauline Astier,"$270,000",,NYL,,Reserved
Janiah Barker,"$270,000",,LVA,"$288,600",Signed
Raegan Beers,"$270,000",,CON,,Reserved
Isobel Borlase,"$270,000",,ATL,"$288,600",Signed
Noemie Brochant,"$270,000",,PHX,,Reserved
Raquel Carrera,"$270,000",,NYL,,Reserved
Emma Cechova,"$270,000",,MIN,,Reserved
Maria Conde,"$270,000",,TOR,,Reserved
Antonia Delaere,"$270,000",,MIN,,Reserved
Chance Gray,"$270,000",,LAS,"$288,600",Signed
Rori Harmon,"$270,000",,WAS,,
Laura Juskaite,"$270,000",,TOR,,Reserved
Teonni Key,"$270,000",,TOR,"$288,600",Signed
Charlisse Leger-Walker,"$270,000",,CON,"$288,600",Signed
Jovana Nogic,"$270,000",,PHX,,Reserved
Teja Oblak,"$270,000",,PDX,,Reserved
Jihyun Park,"$270,000",,LAS,,Reserved
Cassandre Prosper,"$270,000",,WAS,"$288,600",Signed
Sydney Taylor,"$270,000",,CHI,,Reserved
Serah Williams,"$270,000",,PDX,"$288,600",Signed
Shey Peddy,"$259,451",UFA,CON,,
Frieda Buhner,"$241,463",,PDX,,Reserved
Holly Winterburn,"$241,463",,PDX,,Reserved
Grace VanSlooten,"$239,268",,IND,,
Tima Pouye,"$226,098",,TOR,,
Lexi Held,"$223,354",UFA,PHX,,Reserved
Alicia Flórez,"$210,732",,WAS,"$288,600",Signed
Taylor Thierry,"$207,561",Dev,SEA,,Reserved
Nadia Fingall,"$204,146",,GSV,,
Sug Sutton,"$194,024",UFA,DAL,,UFA
Kiana Williams,"$182,744",Dev,LAS,,
Aicha Coulibaly,"$160,244",,CHI,,
Kate Martin,"$144,390",Dev,LAS,"$288,600",Signed
Shatori Walker-Kimbrough,"$142,134",UFA,ATL,,UFA
Chennedy Carter,"$139,878",,LVA,,
Justine Pissott,"$138,293",,LVA,,Reserved
Quionche Carter,"$136,098",,PHX,,
Ta'Niya Latson,"$136,098",,LAS,,
Indya Nivar,"$136,098",,ATL,,
Mai Yamamoto,"$116,341",,LVA,,
Sania Feagin,"$101,524",Rookie,LAS,,
Kalani Brown,"$100,000",UFA,PHX,,
JJ Quinerly,"$90,244",Rookie,DAL,,
Chloe Bibby,"$85,732",UFA,MIN,,Reserved
Eliska Joklova,"$81,220",,MIN,,
Marta Suarez,"$79,024",,PHX,,Reserved
Kamiah Smalls,"$76,707",UFA,PDX,,
